Expirations,,,,,,,
,,,,,,,
,,,,,,,
Resource ID,Percent,Days,Expiration Description,Expiration Date,Expiration Code,Expiration Name,Priority Status
UCIQ021,29036%,26132,unit number decals,1/1/1950 12:02:00 AM,HOLD,Out of Service,Required
UL53260,1446%,1301,Storage(Svajunas M),12/26/2017 8:56:00 AM,HOLD,Out of Service,Required
UL53553,784%,706,PM : 000-TPM : Descr : Trailer PM Service,8/13/2019 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53461,647%,582,PM : 000-TPM : Descr : Trailer PM Service,12/15/2019 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53461,534%,481,PM : 000-DOT : Descr : Annual DOT Inspection,3/25/2020 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53372,408%,367,side wall damage.,7/17/2020 5:01:00 AM,HOLD,Out of Service,Key Date
UL53553,398%,358,PM : 000-DOT : Descr : Annual DOT Inspection,7/26/2020 12:00:00 AM,PRE,Preventive Maint,Required
UL53591,338%,304,"door frame is bent, ",9/18/2020 10:01:00 AM,HOLD,Out of Service,Key Date
UL53412,338%,304,"VIN plate missed, ordered new 9.18.20",9/18/2020 8:01:00 AM,HOLD,Out of Service,Key Date
UL53495,302%,272,"wall side damage, need empty in bolingbrook.",10/20/2020 1:00:00 PM,HOLD,Out of Service,Key Date
UL53630,302%,272,PM : 000-TPM : Descr : Trailer PM Service,10/20/2020 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53521,242%,218,vin plate missed,12/13/2020 8:01:00 AM,HOLD,Out of Service,Key Date
UCIQ015,237%,213,vin plate missed. Ordered new 12.23.20,12/18/2020 5:31:00 PM,HOLD,Out of Service,Key Date
UL53501,234%,211,PM : 000-TPM : Descr : Trailer PM Service,12/20/2020 12:00:00 AM,PRE,Preventive Maint,Key Date
535758,232%,209,PM : 000-TPM : Descr : Trailer PM Service,12/22/2020 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53745,232%,209,PM : 000-TPM : Descr : Trailer PM Service,12/22/2020 12:00:00 AM,PRE,Preventive Maint,Key Date
